phase,task_group,task,question,option_a,option_b,option_c,option_d,correct_answer,explanation
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"Which Phase I task defines the specific business problem the AI project will address, stated in business language?",Cognitive Requirements,Determine Business Objectives,Acceptable Model Performance Values,AI Pattern Identification,B,"Determine Business Objectives defines the problem in business-native language — not technical language. It names a business problem, specifies direction of improvement, and is specific enough for stakeholder agreement."
Phase I: Business Understanding,Determine Business Objectives,Determine Business Success Criteria,A well-formed Business Success Criterion must include all of the following EXCEPT:,Baseline and target values,Measurement method and time frame,Algorithm selection and hyperparameters,A named metric,C,"Algorithm selection belongs to Phase IV (Select Modeling Technique). Business Success Criteria include: metric, baseline, target, measurement method, and time frame — all in business language."
Phase I: Business Understanding,Determine Business Objectives,Determine Business Success Criteria,What is the PRIMARY difference between Business Success Criteria and Acceptable KPI Performance Values?,Success Criteria are technical while KPI values are business-level,Success Criteria define aspirational targets while KPI values define the minimum acceptable floor,Success Criteria are set by engineers while KPI values are set by executives,There is no meaningful difference between them,B,Business Success Criteria define what the business aspires to achieve (the target). KPI Performance Values define the minimum acceptable business impact — the floor below which the system does not justify its cost.
Phase I: Business Understanding,Assess Situation,Resource Requirements,"During Phase I Assess Situation, the PM estimates that the project needs 3 ML engineers and $400K in compute. What does this output feed DIRECTLY?",Phase IV Model Training,Phase I AI Go/No-Go Execution Feasibility,Phase II Collect Initial Data,Phase VI Operationalization Plan,B,Assess Situation estimates what resources and schedule are requireExecution Feasibility (under AI Go/No-Go) evaluates whether the organization can actually provide those resources. This is a direct dependency.
Phase I: Business Understanding,AI System Performance and Operation,Acceptable Model Performance Values,A model achieves 94% accuracy (PASSES model performance threshold) but the business KPI shows no improvement. What is the MOST LIKELY explanation?,The model performance values were set incorrectly,The problem is deployment or adoption — not the model itself,The KPI Performance Values were set too high,The Cost-Benefit Analysis was wrong,B,"When a model passes technical thresholds but fails KPI measurement, the gap is typically in deployment, user adoption, or business process change — not in the model. This is the Model PASS / KPI FAIL scenario."
Phase I: Business Understanding,Trustworthy AI Requirements,Required AI Explainability Considerations,Which Trustworthy AI task answers: 'Why was THIS specific decision made for THIS case?',Required AI Transparency Considerations,Required Ethical AI Considerations,Required AI Explainability Considerations,AI Failure Modes,C,"Explainability addresses instance-level understanding — why a specific decision was made for a specific case. Transparency addresses system-level disclosure (is AI involved, how does it generally work). This is the most commonly confused pair."
Phase I: Business Understanding,Trustworthy AI Requirements,AI Failure Modes,"In Phase I, AI Failure Mode analysis is performed BEFORE the model is built. This makes the analysis:",Reactive — responding to observed failures,Proactive — anticipating failures before they occur,Unnecessary — since no model exists to fail yet,Redundant with Phase VI monitoring,B,"Phase I failure mode analysis is proactive by design. It identifies potential technical, operational, human interaction, and systemic failures before the model is built, so mitigations can be planned into the project from the start."
Phase I: Business Understanding,AI Go/No-Go,Execution Feasibility,"A Go/No-Go assessment finds strong business case and available data, but the organization lacks ML engineering talent and has no GPU infrastructure. Which feasibility dimension FAILS?",Business Feasibility,Data Feasibility,Execution Feasibility,All three dimensions fail,C,"Execution Feasibility evaluates whether the organization can deliver the project with required resources, skills, infrastructure, and timeline. Skills gaps and infrastructure gaps are execution feasibility failures."
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A project manager is leading the initial phase of an AI project to improve inventory management. During the ""Determine Business Objectives"" task, the warehouse manager states: ""We need an AI model that predicts which products will run out of stock next week."" The IT director adds: ""We should build a real-time dashboard showing inventory levels across all warehouses."" According to the PMI-CPMAI framework, what is the project manager's PRIMARY responsibility in this situation?",Document both statements as business objectives to ensure all stakeholder needs are captured,Facilitate the group to decide on a single primary business outcome the project is accountable for achieving,Proceed immediately to data collection to determine which objective is technically feasible,Escalate to the steering committee for a decision on which stakeholder's priority is correct,B,"The project manager's primary responsibility during ""Determine Business Objectives"" is to drive closure on a single primary business outcome that the project is accountable for achieving. Both stakeholders have proposed different outcomes. The PM must facilitate a decision on one objective, not collect all stakeholder wishes as objectives. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"An AI project team has completed the ""Determine Business Objectives"" task and documented the following statement: ""Implement a deep learning classifier to automate customer support ticket routing."" Which statement correctly evaluates this objective against CPMAI requirements?",The objective is correctly stated because it specifies the technology (deep learning) to be used,The objective is incorrectly stated because it describes a solution rather than a business outcome,The objective is correctly stated because it identifies the business process (customer support),The objective is insufficiently detailed and should include model performance targets,B,"The objective is incorrectly stated because it describes a solution (deep learning classifier) rather than a business outcome. A business objective should state what business result the project must achieve, not how it will be built. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A project manager is facilitating the ""Determine Business Objectives"" task for an AI initiative in a regulated financial services firm. The compliance officer states that any AI system affecting credit decisions must provide auditable explanations for each decision. The marketing director wants the objective to be ""increase credit card approval rates by 25%."" What must the project manager ensure during this task?","The business objective is documented without consideration of compliance requirements, as those are addressed in later phases",The 25% approval rate target is reduced because compliance adds overhead,The business objective is compatible with the required AI explainability constraints,The compliance requirement is documented as a separate business objective,C,The project manager must ensure the business objective is compatible with trustworthy AI constraints. The outline explicitly states that trustworthy requirements can narrow what the business objective can reasonably claim. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives][Maps to: CPMAI Phase I: Business Understanding - Trustworthy AI Requirements - Required AI Explainability Considerations]
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"Which of the following are DIRECT outputs of the ""Determine Business Objectives"" task in Phase I? (Select TWO)",A documented business objective statement clear enough to guide Phase I work,"Acceptable model performance values (precision, recall, etc.)",A stable objective baseline used to define business success criteria,Labeled training data for model development,"A, C","The outline explicitly lists two key outputs: (1) A documented business objective statement clear enough to guide Phase I work, and (2) A stable objective baseline used to define business success criteria and cost-benefit analysis. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A project manager is working with stakeholders to determine the business objective for an AI-powered fraud detection system. Stakeholders propose the following candidates: 1. ""Reduce fraud losses"" 2. ""Decrease false positive alerts to reduce manual review workload"" 3. ""Build an ensemble model using transaction history and customer behavior data"" 4. ""Achieve real-time fraud scoring for all transactions"" According to the PMI-CPMAI framework, which candidate represents a properly stated business objective?",Reduce fraud losses,Decrease false positive alerts to reduce manual review workload,Build an ensemble model using transaction history and customer behavior data,Achieve real-time fraud scoring for all transactions,B,Option B is properly stated because it describes a business outcome (reduced manual review workload) and the mechanism is tied to that outcome. It does not prescribe a technical solution. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"An AI project has completed the ""Determine Business Objectives"" task. The documented objective is: ""Improve patient discharge efficiency at City General Hospital."" The project manager is about to begin the next tasks. Which downstream tasks in Phase I require this business objective as an input? (Select THREE)",Determine Business Success Criteria,Cost-Benefit Analysis,Collect Initial Data,AI Go/No-Go - Business Feasibility,"A, B, F","The outline states the business objective feeds directly into: Determine Business Success Criteria, Cost-Benefit Analysis, and Produce Project Plan (which reuses the objective as the plan anchor). [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives][Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Success Criteria][Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Cost-Benefit Analysis][Maps to: CPMAI Phase I: Business Understanding - Produce Project Plan - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A project manager is leading the ""Determine Business Objectives"" task for an AI project proposed by the sales department. The sales director states: ""Our objective is to increase cross-selling revenue by using AI to recommend products to existing customers."" The data scientist asks: ""Should we optimize for revenue per customer, or total number of successful cross-sells?"" What is the project manager's correct action?","Document the objective as ""increase cross-selling revenue"" and allow the data science team to decide the optimization metric",Facilitate a decision on the specific business outcome before proceeding to success criteria definition,Defer the decision until the cost-benefit analysis reveals which option is more profitable,Document both optimization approaches as parallel business objectives,B,The PM must decide which competing outcomes are not objectives. The data scientist's question reveals two different business outcomes. The PM must facilitate a decision on the specific business outcome before proceeding. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"An AI project team has documented the business objective: ""Reduce manufacturing defects by identifying root causes from sensor data."" During the next task (Determine Business Success Criteria), stakeholders disagree on whether ""defect reduction"" means fewer units scrapped or fewer customer complaints. According to the CPMAI framework, what is the root cause of this disagreement?",The data scientists have not yet explored the sensor data to determine what is possible,The business objective was not stated clearly enough to define measurable success criteria without guessing,The project manager should have waited until after feasibility analysis to define the objective,The stakeholders are not qualified to define technical success metrics,B,The stakeholder disagreement is a direct consequence of an insufficiently clear business objective. The objective must be specific enough to define measurable success criteria without inventing assumptions. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"An organization is initiating its first AI project. The project manager schedules a workshop for the ""Determine Business Objectives"" task. A junior project coordinator asks: ""Why can't we just start collecting data first and figure out the business objective later?"" Which response is CORRECT based on the PMI-CPMAI framework?","""Data collection is faster when we don't have constraints from business objectives""","""Without a stable business objective, we risk optimizing the wrong thing and wasting effort even if the AI works technically""","""The CPMAI lifecycle allows flexible ordering of tasks, so we could collect data first""","""Business objectives are only needed for the go/no-go decision, not for data work""",B,"The outline explicitly states: ""If you start building or collecting data without a stable business objective, you risk optimizing the wrong thing and wasting effort even if the AI works technically."" [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A project manager has completed the ""Determine Business Objectives"" task and documented the objective: ""Reduce average customer service call handling time by 20% within six months."" The project now proceeds through the remaining Phase I tasks. In which subsequent Phase I task will this SAME business objective be explicitly documented again as the project anchor?",AI Go/No-Go - Business Feasibility,Cognitive Project Requirements - Cognitive Requirements,Produce Project Plan - Determine Business Objectives,Trustworthy AI Requirements - Required Ethical AI Considerations,C,"The outline explicitly states that the ""Produce Project Plan"" task reuses the business objective as the plan anchor. The same objective is documented again in the project plan. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives][Maps to: CPMAI Phase I: Business Understanding - Produce Project Plan - Determine Business Objectives]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Success Criteria,"A senior program manager is leading Phase I for an AI initiative intended to automate the review of commercial loan applications. During the Determine Business Objectives task group, the project sponsor states: ""We need the system to reduce manual review time by 40% and maintain a false approval rate below 2%."" The program manager documents these statements. Which Phase I tasks are being performed in this scenario?",Determine Business Objectives and Acceptable Model Performance Values,Determine Business Success Criteria and Acceptable KPI Performance Values,Cost-Benefit Analysis and AI System Performance and Operation,Resource Requirements and Schedule Requirements,B,"The sponsor's statement contains two distinct elements. ""Reduce manual review time by 40%"" is a measurable condition indicating business success, mapping to Determine Business Success Criteri""Maintain a false approval rate below 2%"" is a quantitative expectation for a business KPI, mapping to Acceptable KPI Performance Values. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Success Criteria][Maps to: CPMAI Phase I: Business Understanding - AI System Performance and Operation - Acceptable KPI Performance Values]"
Phase I: Business Understanding,Trustworthy AI Requirements,Required AI Explainability Considerations,"A government agency is conducting Phase I for an AI system that will assist caseworkers in eligibility determinations for public benefits. The project team documents that the system must provide caseworkers with a clear, auditable reason for each eligibility recommendation. Which Phase I task is demonstrated?",Required AI Explainability Considerations,Hyperparameter Optimization,Ensemble Methods,Data Feasibility,A,"The requirement that the system ""must provide caseworkers with a clear, auditable reason for each eligibility recommendation"" defines how understandable the AI system's outputs must be. This is explicitly the task Required AI Explainability Considerations. [Maps to: CPMAI Phase I: Business Understanding - Trustworthy AI Requirements - Required AI Explainability Considerations]"
Phase I: Business Understanding,Trustworthy AI Requirements,Required Compliance With Regulations and Laws,A government agency is conducting Phase I for an AI system that will assist caseworkers in eligibility determinations for public benefits. The legal department confirms the system must comply with four specific federal regulations regarding administrative decision-making. Which Phase I task is demonstrated?,Required AI Transparency Considerations,Required Compliance With Regulations and Laws,Required Ethical AI Considerations,Required AI Explainability Considerations,B,The legal department confirming the system must comply with four specific federal regulations directly captures legal and regulatory obligations. This is the task Required Compliance With Regulations and Laws. [Maps to: CPMAI Phase I: Business Understanding - Trustworthy AI Requirements - Required Compliance With Regulations and Laws]
Phase I: Business Understanding,Trustworthy AI Requirements,Required Ethical AI Considerations,A government agency is conducting Phase I for an AI system that will assist caseworkers in eligibility determinations for public benefits. The data team reports that historical case data exists but contains known demographic bias that must be addresseWhich Phase I task is demonstrated?,Data Feasibility,Required Compliance With Regulations and Laws,Required Ethical AI Considerations,Required AI Transparency Considerations,C,The identification that historical data contains known demographic bias that must be addressed captures an ethical constraint the AI project must honor. This is the task Required Ethical AI Considerations. [Maps to: CPMAI Phase I: Business Understanding - Trustworthy AI Requirements - Required Ethical AI Considerations]
Phase I: Business Understanding,AI Go/No-Go,Data Feasibility,A government agency is conducting Phase I for an AI system that will assist caseworkers in eligibility determinations for public benefits. The data team reports that historical case data exists but contains known demographic bias that must be addresseWhich Phase I task is demonstrated?,Required Ethical AI Considerations,Required Compliance With Regulations and Laws,Data Feasibility,Required AI Explainability Considerations,C,"The team assesses whether historical case data exists (availability) and identifies that it contains demographic bias that must be addressed (quality/suitability). This assessment of whether sufficient, appropriate data exists is Data Feasibility. [Maps to: CPMAI Phase I: Business Understanding - AI Go/No-Go - Data Feasibility]"
Phase I: Business Understanding,Determine Business Objectives,Determine Business Objectives,"A program manager is leading Phase I for an AI initiative intended to reduce customer call wait times in a contact center. The operations director states: ""We need to predict call volume by hour so we can schedule staff appropriately and keep wait times under 30 seconds."" The program manager documents this statement. Which Phase I task is being performed?",A. Determine Business Success Criteria,B. AI Pattern Identification,C. Determine Business Objectives,D. Resource Requirements,C,The operations director's statement describes the desired business outcome: reduced wait times through improved staffing based on volume prediction. This is the core of the Determine Business Objectives task: documenting what the organization wants from the AI initiative in terms of business outcomes. [Maps to: CPMAI Phase I: Business Understanding - Determine Business Objectives - Determine Business Objectives]
